x,y,isovist,a_index
35.727999999999994,11.614,3.1409574e8,0.78526306
36.592,11.614,3.1409584e8,0.78518677
36.73599999999999,11.614,3.140958e8,0.7851105
36.879999999999995,11.614,3.140958e8,0.7853241
37.023999999999994,11.614,3.1409574e8,0.78541565
37.16799999999999,11.614,3.140958e8,0.78500366
37.312,11.614,3.1409578e8,0.7853546
37.455999999999996,11.614,3.1409578e8,0.78538513
37.599999999999994,11.614,3.140958e8,0.7857361
37.74399999999999,11.614,3.1409574e8,0.7853546
37.88799999999999,11.614,3.1409574e8,0.7852936
38.032,11.614,3.1409578e8,0.7858124
38.175999999999995,11.614,3.1409578e8,0.78530884
38.31999999999999,11.614,3.1409578e8,0.78549194
38.464,11.614,3.1409574e8,0.78544617
38.60799999999999,11.614,3.1409578e8,0.78541565
38.751999999999995,11.614,3.140958e8,0.7854614
38.895999999999994,11.614,3.1409578e8,0.7852783
39.03999999999999,11.614,3.1409584e8,0.78541565
39.184,11.614,3.1409578e8,0.7852478
39.32799999999999,11.614,3.1409578e8,0.78538513
39.471999999999994,11.614,3.1409578e8,0.78526306
39.61599999999999,11.614,3.1409578e8,0.7851715
40.47999999999999,11.614,3.140958e8,0.78523254
40.623999999999995,11.614,3.1409574e8,0.7853546
40.767999999999994,11.614,3.1409578e8,0.78533936
40.91199999999999,11.614,3.140958e8,0.7854004
41.056,11.614,3.1409578e8,0.78556824
41.19999999999999,11.614,3.1409574e8,0.78538513
41.343999999999994,11.614,3.1409578e8,0.78541565
41.48799999999999,11.614,3.1409578e8,0.78518677
41.63199999999999,11.614,3.140958e8,0.7855072
41.775999999999996,11.614,3.140958e8,0.78526306
41.919999999999995,11.614,3.1409574e8,0.7859192
42.06399999999999,11.614,3.1409574e8,0.78533936
42.20799999999999,11.614,3.1409574e8,0.7858124
42.35199999999999,11.614,3.1409574e8,0.7848511
42.495999999999995,11.614,3.140958e8,0.7857208
42.63999999999999,11.614,3.140958e8,0.7849579
42.78399999999999,11.614,3.1409578e8,0.78440857
42.928,11.614,3.140958e8,0.78627014
43.07199999999999,11.614,3.1409574e8,0.7855377
43.215999999999994,11.614,3.1409578e8,0.7851715
43.35999999999999,11.614,3.1409578e8,0.78474426
43.50399999999999,11.614,3.1409578e8,0.78533936
43.647999999999996,11.614,3.1409578e8,0.78541565
43.79199999999999,11.614,3.1409578e8,0.78523254
43.93599999999999,11.614,3.1409578e8,0.78523254
44.07999999999999,11.614,3.1409578e8,0.78512573
16.144,11.721,3.1409578e8,0.78531647
16.288,11.721,3.1409574e8,0.785553
17.008,11.721,3.1409578e8,0.7852402
17.152,11.721,3.1409584e8,0.785408
17.296,11.721,3.140958e8,0.7854309
17.439999999999998,11.721,3.1409578e8,0.7851944
17.584,11.721,3.140958e8,0.7853317
17.727999999999998,11.721,3.140958e8,0.7852783
17.872,11.721,3.1409578e8,0.785408
18.016,11.721,3.1409578e8,0.7851105
18.16,11.721,3.1409584e8,0.78536224
18.304,11.721,3.1409584e8,0.7854233
18.448,11.721,3.1409574e8,0.78546906
18.592,11.721,3.140958e8,0.78536224
18.736,11.721,3.1409574e8,0.78530884
18.88,11.721,3.140958e8,0.78541565
19.024,11.721,3.1409578e8,0.78544617
19.168,11.721,3.1409574e8,0.78536224
19.311999999999998,11.721,3.140958e8,0.78538513
19.456,11.721,3.1409578e8,0.7855606
19.599999999999998,11.721,3.1409578e8,0.785408
19.744,11.721,3.1409574e8,0.78541565
19.887999999999998,11.721,3.1409574e8,0.7854004
20.032,11.721,3.1409578e8,0.7854004
20.176,11.721,3.140958e8,0.7855072
21.04,11.721,3.140958e8,0.7855301
21.183999999999997,11.721,3.1409574e8,0.785347
21.328,11.721,3.1409574e8,0.78533936
21.471999999999998,11.721,3.1409578e8,0.78538513
21.616,11.721,3.1409574e8,0.78536224
21.759999999999998,11.721,3.1409578e8,0.78515625
21.903999999999996,11.721,3.1409574e8,0.78539276
22.048,11.721,3.1409574e8,0.78559875
22.192,11.721,3.1409578e8,0.7854767
22.336,11.721,3.140958e8,0.78528595
22.479999999999997,11.721,3.1409578e8,0.7854538
22.624,11.721,3.1409578e8,0.78517914
22.767999999999997,11.721,3.1409574e8,0.78531647
22.912,11.721,3.1409578e8,0.78518677
23.055999999999997,11.721,3.1409578e8,0.785553
23.2,11.721,3.1409578e8,0.78541565
23.343999999999998,11.721,3.1409574e8,0.7857361
23.488,11.721,3.1409578e8,0.78515625
23.631999999999998,11.721,3.140958e8,0.78556824
23.775999999999996,11.721,3.1409574e8,0.78541565
23.919999999999998,11.721,3.1409574e8,0.7852783
24.064,11.721,3.1409578e8,0.78500366
24.927999999999997,11.721,3.1409578e8,0.7857208
25.071999999999996,11.721,3.140958e8,0.7857971
25.215999999999998,11.721,3.1409578e8,0.7853546
25.36,11.721,3.1409578e8,0.7857971
25.503999999999998,11.721,3.1409578e8,0.78526306
25.647999999999996,11.721,3.1409584e8,0.7857361
25.791999999999998,11.721,3.1409578e8,0.7856598
25.936,11.721,3.1409578e8,0.7854004
26.08,11.721,3.1409574e8,0.7855835
26.223999999999997,11.721,3.140958e8,0.7852783
26.367999999999995,11.721,3.1409574e8,0.78567505
26.511999999999997,11.721,3.1409578e8,0.7853546
26.656,11.721,3.140958e8,0.7856903
26.799999999999997,11.721,3.140958e8,0.7853699
26.943999999999996,11.721,3.1409584e8,0.7856598
27.087999999999997,11.721,3.140958e8,0.78518677
27.232,11.721,3.1409578e8,0.78530884
